Note: You are using GPU for training
Dataset: Reuters
No. of target classes: 90
No. of train instances 5827
No. of dev instances 1943
No. of test instances 3019
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
     0     1         1     1/365         0% 0.697874       0.0000
    12     1        11    11/365         3% 0.055218       9.6591
    29     1        21    21/365         6% 0.076706      16.0714
    46     1        31    31/365         8% 0.027647      21.1694
    64     1        41    41/365        11% 0.049303      20.2744
    75     1        51    51/365        14% 0.031616      22.1814
    92     1        61    61/365        17% 0.002987      27.0492
   102     1        71    71/365        19% 0.047166      30.7218
   114     1        81    81/365        22% 0.060710      32.5617
   140     1        91    91/365        25% 0.052999      33.5165
   150     1       101   101/365        28% 0.056994      36.0767
   162     1       111   111/365        30% 0.028428      37.8378
   174     1       121   121/365        33% 0.036167      38.0165
   192     1       131   131/365        36% 0.079908      39.2653
   209     1       141   141/365        39% 0.013901      39.8936
   222     1       151   151/365        41% 0.071123      40.5629
   246     1       161   161/365        44% 0.039093      41.0714
   263     1       171   171/365        47% 0.027119      41.2646
   272     1       181   181/365        50% 0.027298      41.7127
   282     1       191   191/365        52% 0.056378      42.5720
   298     1       201   201/365        55% 0.001777      43.6256
   309     1       211   211/365        58% 0.069777      43.8685
   341     1       221   221/365        61% 0.072449      43.6086
   360     1       231   231/365        63% 0.039494      44.1017
   371     1       241   241/365        66% 0.042867      44.5021
   389     1       251   251/365        69% 0.033459      44.8705
   397     1       261   261/365        72% 0.030408      45.5220
   412     1       271   271/365        74% 0.012613      45.6642
   424     1       281   281/365        77% 0.005209      46.1744
   432     1       291   291/365        80% 0.059689      46.7998
   443     1       301   301/365        82% 0.054268      46.9477
   458     1       311   311/365        85% 0.034723      47.0659
   479     1       321   321/365        88% 0.053307      47.1013
   491     1       331   331/365        91% 0.048981      47.2648
   498     1       341   341/365        93% 0.034312      47.7310
   518     1       351   351/365        96% 0.027983      47.8137
   542     1       361   361/365        99% 0.041599      47.8223

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
   714     1       365     1/30     0.5764   0.9408   0.5190       0.6690       2.3013

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
   720     2       371     6/365         2% 0.027380      70.8333
   744     2       381    16/365         4% 0.000480      62.8906
   753     2       391    26/365         7% 0.045083      56.9712
   763     2       401    36/365        10% 0.023169      59.2014
   772     2       411    46/365        13% 0.016857      59.3750
   792     2       421    56/365        15% 0.032502      58.3705
   806     2       431    66/365        18% 0.049553      57.5758
   836     2       441    76/365        21% 0.042799      55.7566
   849     2       451    86/365        24% 0.020701      55.4506
   858     2       461    96/365        26% 0.061483      55.9245
   876     2       471   106/365        29% 0.004206      56.0142
   890     2       481   116/365        32% 0.041315      55.7651
   904     2       491   126/365        35% 0.023837      56.2500
   917     2       501   136/365        37% 0.009558      55.9743
   926     2       511   146/365        40% 0.073326      56.4640
   958     2       521   156/365        43% 0.029447      55.2885
   977     2       531   166/365        45% 0.029047      55.3840
   988     2       541   176/365        48% 0.029106      55.4332
   998     2       551   186/365        51% 0.089868      55.7460
  1008     2       561   196/365        54% 0.022917      55.7717
  1022     2       571   206/365        56% 0.012663      55.7949
  1028     2       581   216/365        59% 0.000703      56.3079
  1050     2       591   226/365        62% 0.020113      56.0288
  1057     2       601   236/365        65% 0.004916      56.2235
  1068     2       611   246/365        67% 0.018038      56.4787
  1080     2       621   256/365        70% 0.034592      56.5430
  1105     2       631   266/365        73% 0.091883      55.9915
  1122     2       641   276/365        76% 0.007718      55.9556
  1133     2       651   286/365        78% 0.026495      56.0970
  1158     2       661   296/365        81% 0.026454      55.6799
  1174     2       671   306/365        84% 0.019402      55.7598
  1187     2       681   316/365        87% 0.009744      55.8347
  1199     2       691   326/365        89% 0.029088      55.6940
  1217     2       701   336/365        92% 0.034792      55.8083
  1230     2       711   346/365        95% 0.045918      55.7668
  1248     2       721   356/365        98% 0.021710      55.9036

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  1430     2       730     2/30     0.6392   0.9443   0.5894       0.7258       2.0994

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  1438     3       731     1/365         0% 0.000241     100.0000
  1446     3       741    11/365         3% 0.016342      60.7955
  1473     3       751    21/365         6% 0.035754      59.5238
  1484     3       761    31/365         8% 0.024186      62.0968
  1497     3       771    41/365        11% 0.075134      60.2134
  1514     3       781    51/365        14% 0.060754      58.5784
  1528     3       791    61/365        17% 0.030172      56.7623
  1540     3       801    71/365        19% 0.007373      57.9225
  1556     3       811    81/365        22% 0.024297      57.9475
  1575     3       821    91/365        25% 0.021022      57.7610
  1588     3       831   101/365        28% 0.091837      57.9827
  1614     3       841   111/365        30% 0.062977      56.9257
  1624     3       851   121/365        33% 0.062303      57.3347
  1637     3       861   131/365        36% 0.023555      57.2996
  1645     3       871   141/365        39% 0.039559      57.8901
  1662     3       881   151/365        41% 0.018503      57.5331
  1673     3       891   161/365        44% 0.013837      57.3370
  1693     3       901   171/365        47% 0.000386      57.1637
  1707     3       911   181/365        50% 0.006899      57.5622
  1729     3       921   191/365        52% 0.037918      57.3298
  1741     3       931   201/365        55% 0.025778      57.3383
  1754     3       941   211/365        58% 0.005648      57.3164
  1772     3       951   221/365        61% 0.006640      57.7206
  1785     3       961   231/365        63% 0.047648      57.5758
  1796     3       971   241/365        66% 0.004798      57.8060
  1815     3       981   251/365        69% 0.035490      57.3954
  1828     3       991   261/365        72% 0.053194      57.5670
  1852     3      1001   271/365        74% 0.013109      57.3109
  1865     3      1011   281/365        77% 0.041662      56.8283
  1873     3      1021   291/365        80% 0.010506      56.9802
  1884     3      1031   301/365        82% 0.005057      57.0598
  1895     3      1041   311/365        85% 0.065774      57.1945
  1912     3      1051   321/365        88% 0.019453      57.1651
  1922     3      1061   331/365        91% 0.002018      57.4962
  1943     3      1071   341/365        93% 0.022939      57.4316
  1962     3      1081   351/365        96% 0.048069      56.9873
  1975     3      1091   361/365        99% 0.008598      56.6892

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2152     3      1095     3/30     0.6526   0.9346   0.6220       0.7469       1.9833

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2163     4      1101     6/365         2% 0.033382      69.7917
  2177     4      1111    16/365         4% 0.011169      66.0156
  2186     4      1121    26/365         7% 0.060132      61.0577
  2203     4      1131    36/365        10% 0.008786      58.6806
  2217     4      1141    46/365        13% 0.044412      58.2880
  2227     4      1151    56/365        15% 0.014053      58.8170
  2245     4      1161    66/365        18% 0.028287      58.3333
  2251     4      1171    76/365        21% 0.035500      59.2928
  2271     4      1181    86/365        24% 0.020855      59.3023
  2305     4      1191    96/365        26% 0.034148      57.2266
  2317     4      1201   106/365        29% 0.024860      57.2524
  2328     4      1211   116/365        32% 0.008021      58.2974
  2346     4      1221   126/365        35% 0.034145      57.3909
  2366     4      1231   136/365        37% 0.002164      57.9963
  2374     4      1241   146/365        40% 0.021620      58.1336
  2388     4      1251   156/365        43% 0.024882      58.3333
  2411     4      1261   166/365        45% 0.045941      57.9066
  2424     4      1271   176/365        48% 0.036474      57.5994
  2436     4      1281   186/365        51% 0.000201      57.9973
  2454     4      1291   196/365        54% 0.050010      57.7806
  2470     4      1301   206/365        56% 0.033684      58.0704
  2482     4      1311   216/365        59% 0.020436      58.2465
  2490     4      1321   226/365        62% 0.001130      58.8772
  2500     4      1331   236/365        65% 0.052202      58.9513
  2515     4      1341   246/365        67% 0.006030      58.7398
  2533     4      1351   256/365        70% 0.056562      58.4229
  2551     4      1361   266/365        73% 0.043357      58.2942
  2574     4      1371   276/365        76% 0.010899      58.3560
  2584     4      1381   286/365        78% 0.081135      58.4353
  2599     4      1391   296/365        81% 0.037976      58.5093
  2617     4      1401   306/365        84% 0.032681      58.1904
  2643     4      1411   316/365        87% 0.148908      58.3383
  2655     4      1421   326/365        89% 0.026244      58.1395
  2671     4      1431   336/365        92% 0.005991      58.1577
  2682     4      1441   346/365        95% 0.043918      58.1206
  2700     4      1451   356/365        98% 0.020196      58.1559

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  2875     4      1460     4/30     0.6665   0.9391   0.6392       0.7606       1.9940

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  2884     5      1461     1/365         0% 0.020320      56.2500
  2899     5      1471    11/365         3% 0.032242      48.8636
  2914     5      1481    21/365         6% 0.049720      52.0833
  2928     5      1491    31/365         8% 0.041730      54.4355
  2954     5      1501    41/365        11% 0.067271      53.8110
  2965     5      1511    51/365        14% 0.000188      55.6373
  2976     5      1521    61/365        17% 0.045083      56.8648
  2985     5      1531    71/365        19% 0.052283      57.1303
  3003     5      1541    81/365        22% 0.005770      58.9506
  3019     5      1551    91/365        25% 0.015402      58.1044
  3037     5      1561   101/365        28% 0.055074      57.4257
  3051     5      1571   111/365        30% 0.026918      57.2072
  3070     5      1581   121/365        33% 0.009166      56.4566
  3086     5      1591   131/365        36% 0.040559      56.8702
  3105     5      1601   141/365        39% 0.011380      56.3387
  3122     5      1611   151/365        41% 0.103883      56.1672
  3135     5      1621   161/365        44% 0.024820      56.3276
  3144     5      1631   171/365        47% 0.015242      57.1272
  3162     5      1641   181/365        50% 0.002897      57.1478
  3173     5      1651   191/365        52% 0.034335      57.3953
  3181     5      1661   201/365        55% 0.023450      58.3644
  3197     5      1671   211/365        58% 0.018809      58.2642
  3208     5      1681   221/365        61% 0.008322      58.4559
  3215     5      1691   231/365        63% 0.016323      58.6851
  3224     5      1701   241/365        66% 0.005920      58.9212
  3252     5      1711   251/365        69% 0.026703      58.3167
  3270     5      1721   261/365        72% 0.027053      58.2854
  3283     5      1731   271/365        74% 0.033046      58.1873
  3296     5      1741   281/365        77% 0.001356      58.6744
  3316     5      1751   291/365        80% 0.054499      58.6340
  3328     5      1761   301/365        82% 0.032470      58.8040
  3343     5      1771   311/365        85% 0.000134      58.8023
  3355     5      1781   321/365        88% 0.027911      58.8785
  3371     5      1791   331/365        91% 0.022304      58.7991
  3391     5      1801   341/365        93% 0.113332      58.8095
  3398     5      1811   351/365        96% 0.029464      58.9506
  3423     5      1821   361/365        99% 0.076478      58.6847

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  3596     5      1825     5/30     0.6686   0.9397   0.6459       0.7656       1.9245

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  3611     6      1831     6/365         2% 0.007606      62.5000
  3629     6      1841    16/365         4% 0.063566      58.5938
  3641     6      1851    26/365         7% 0.024328      56.7308
  3654     6      1861    36/365        10% 0.033790      58.5069
  3673     6      1871    46/365        13% 0.001358      56.6576
  3680     6      1881    56/365        15% 0.020420      59.3750
  3705     6      1891    66/365        18% 0.079617      59.3750
  3721     6      1901    76/365        21% 0.089065      59.0461
  3735     6      1911    86/365        24% 0.149672      59.2297
  3750     6      1921    96/365        26% 0.039706      59.7656
  3759     6      1931   106/365        29% 0.003540      60.6722
  3774     6      1941   116/365        32% 0.033509      60.4526
  3796     6      1951   126/365        35% 0.001977      60.4167
  3808     6      1961   136/365        37% 0.007088      60.9835
  3824     6      1971   146/365        40% 0.026829      61.0873
  3841     6      1981   156/365        43% 0.066738      60.4968
  3850     6      1991   166/365        45% 0.003467      61.2199
  3863     6      2001   176/365        48% 0.026875      60.8310
  3881     6      2011   186/365        51% 0.039728      59.8454
  3895     6      2021   196/365        54% 0.015445      59.3112
  3913     6      2031   206/365        56% 0.074807      59.3750
  3925     6      2041   216/365        59% 0.017178      59.5197
  3943     6      2051   226/365        62% 0.009992      59.7622
